Band,Band_Label,Importance
B08,B08 NIR,0.231331395157786
B12,B12 SWIR2,0.20015412627889018
B11,B11 SWIR1,0.17123799800405065
B02,B02 Blue,0.15242896970162878
B04,B04 Red,0.13298813893105213
B03,B03 Green,0.11185937192659227
