,Water,Forest,Agriculture,Bare/Landslide,Built-up
Water,,1.9999999992045066,1.999999993683969,1.9999865146004754,1.999999588326069
Forest,1.9999999992045066,,1.933917015803379,1.9999989932153428,1.9727466675385035
Agriculture,1.999999993683969,1.933917015803379,,1.9905543888620176,1.2446278321989728
Bare/Landslide,1.9999865146004754,1.9999989932153428,1.9905543888620176,,1.8765344969481452
Built-up,1.999999588326069,1.9727466675385035,1.2446278321989728,1.8765344969481452,
